fuel,color,type
BIT,#000000,Coal
BLQ,#a17419,Biomass+Waste
DFO,#373434,Petroleum
GEO,firebrick,Geothermal
JF,#373434,Petroleum
KER,#373434,Petroleum
LFG,#ff7256,Gas
LIG,#000000,Coal
MSW,#a17419,Biomass+Waste
MWH,#00BFFF,Storage
NG,#ff7256,Gas
NUC,#3ce664,Nuclear
OBG,#ff7256,Gas
OBL,#a17419,Biomass+Waste
OG,#ff7256,Gas
OTH,#AFEEEE,Other
PC,#373434,Petroleum
PG,#373434,Petroleum
RC,#000000,Coal
RFO,#373434,Petroleum
SGC,#000000,Coal
SGP,#373434,Petroleum
SUB,#000000,Coal
SUN,#f6e600,Solar
WAT,#0065a9,Hydro
WC,#000000,Coal
WDS,#a17419,Biomass+Waste
WH,#AFEEEE,Other
WND,#A2D9CE,Wind
WO,#373434,Petroleum
ANT,#000000,Coal
BFG,#ff7256,Gas
PUR,#AFEEEE,Other
WDL,#a17419,Biomass+Waste
AB,#a17419,Biomass+Waste
TDF,#a17419,Biomass+Waste
OBS,#a17419,Biomass+Waste
